country_name,country_code,region,happy_rank,happy_score,happy_dec,happy_gdpc,gdpc_change,happy_supp,happy_health,happy_free,happy_gen,happy_trust,wb_pov,wb_unemp,wb_elec,wb_renew,wb_hom,wb_debt
Kuwait,KWT,Middle East and Northern Africa,51,6.021,7,1.500,0.017,1.319,0.808,0.493,0.142,0.10,,2.16,100.00,0.06,0.36,
Kyrgyzstan,KGZ,Central and Eastern Europe,86,5.261,5,0.551,0.038,1.438,0.723,0.508,0.300,0.02,0.70,4.25,99.88,28.31,2.20,54.23
Laos,LAO,Southeastern Asia,105,4.796,4,0.764,0.058,1.030,0.551,0.547,0.266,0.16,,3.27,98.40,48.72,,
Latvia,LVA,Central and Eastern Europe,53,5.940,7,1.187,0.033,1.465,0.812,0.264,0.075,0.06,0.20,6.31,100.00,41.48,3.39,
Lebanon,LBN,Middle East and Northern Africa,91,5.197,5,0.987,0.022,1.224,0.815,0.216,0.166,0.03,,11.30,99.95,5.13,3.15,
Lesotho,LSO,Middle East and Northern Africa,144,3.802,1,0.489,0.035,1.169,0.168,0.359,0.107,0.09,,16.88,44.56,39.47,,31.57
Liberia,LBR,Sub-Saharan Africa,141,3.975,1,0.073,-0.041,0.922,0.443,0.370,0.233,0.03,,3.02,23.10,89.71,,
Libya,LBY,Middle East and Northern Africa,72,5.525,6,1.044,0.057,1.303,0.673,0.416,0.133,0.15,,19.61,68.47,3.00,,
Lithuania,LTU,Central and Eastern Europe,42,6.149,8,1.238,0.033,1.515,0.818,0.291,0.043,0.04,0.50,6.26,100.00,33.54,3.30,42.64
Luxembourg,LUX,Western Europe,14,7.090,10,1.609,0.021,1.479,1.012,0.526,0.194,0.32,0.10,5.59,100.00,16.45,0.65,
Madagascar,MDG,Sub-Saharan Africa,143,3.933,1,0.274,0.044,0.916,0.555,0.148,0.169,0.04,,1.84,31.04,82.52,,
Malawi,MWI,Sub-Saharan Africa,150,3.410,1,0.191,0.026,0.560,0.495,0.443,0.218,0.09,70.10,4.93,11.20,72.10,,44.89
Malaysia,MYS,Southeastern Asia,80,5.339,5,1.221,0.049,1.171,0.828,0.508,0.260,0.02,,3.26,100.00,5.59,0.95,52.42
Mali,MLI,Sub-Saharan Africa,128,4.390,2,0.385,0.039,1.105,0.308,0.327,0.153,0.05,,1.62,47.85,66.91,,
Malta,MLT,Western Europe,22,6.726,9,1.300,0.023,1.520,0.999,0.564,0.375,0.15,0.30,3.62,100.00,7.40,0.99,
Mauritania,MRT,Sub-Saharan Africa,122,4.490,3,0.570,0.023,1.167,0.489,0.066,0.106,0.09,,10.40,44.95,24.98,1.10,
Mauritius,MUS,Sub-Saharan Africa,57,5.888,7,1.120,0.027,1.402,0.798,0.498,0.215,0.06,,6.33,100.00,8.94,2.08,57.96
Mexico,MEX,Latin America and Caribbean,23,6.595,9,1.070,0.030,1.323,0.861,0.433,0.074,0.07,,3.48,99.60,10.27,29.31,42.47
Moldova,MDA,Central and Eastern Europe,71,5.529,6,0.685,0.041,1.328,0.739,0.245,0.181,0.00,,5.10,100.00,22.04,3.89,25.45
Mongolia,MNG,Eastern Asia,83,5.285,5,0.948,0.036,1.531,0.667,0.317,0.235,0.04,,5.44,98.92,3.32,6.34,60.84
Montenegro,MNE,Central and Eastern Europe,73,5.523,6,1.051,0.032,1.361,0.871,0.197,0.142,0.08,,15.13,99.96,38.74,3.65,
Morocco,MAR,Middle East and Northern Africa,89,5.208,5,0.801,0.027,0.782,0.782,0.418,0.036,0.08,,9.24,99.60,10.57,1.73,
Mozambique,MOZ,Middle East and Northern Africa,123,4.466,3,0.204,0.029,0.986,0.390,0.494,0.197,0.14,,3.47,29.69,78.34,,79.51
Myanmar,MMR,Southeastern Asia,131,4.360,2,0.710,0.039,1.181,0.555,0.525,0.566,0.17,,0.41,68.31,58.89,2.86,
Namibia,NAM,Sub-Saharan Africa,113,4.639,3,0.879,,1.313,0.477,0.401,0.070,0.06,,20.00,53.28,30.23,13.04,4.64
Nepal,NPL,Southern Asia,100,4.913,4,0.446,0.047,1.226,0.677,0.439,0.285,0.09,,10.60,89.90,77.18,2.29,31.78
Netherlands,NLD,Western Europe,5,7.488,10,1.396,0.025,1.522,0.999,0.557,0.322,0.30,0.10,3.38,100.00,8.61,0.63,
New Zealand,NZL,Australia and New Zealand,8,7.307,10,1.303,0.027,1.557,1.026,0.585,0.330,0.38,,4.11,100.00,27.93,2.60,32.75
Nicaragua,NIC,Latin America and Caribbean,45,6.105,8,0.694,0.037,1.325,0.835,0.435,0.200,0.13,,5.20,85.66,50.72,7.73,
Niger,NER,Sub-Saharan Africa,114,4.628,3,0.138,0.051,0.774,0.366,0.318,0.188,0.10,,0.55,18.46,80.74,,
Nigeria,NGA,Sub-Saharan Africa,85,5.265,5,0.696,0.010,1.111,0.245,0.426,0.215,0.04,,5.21,55.40,80.81,21.74,
North Macedonia,MKD,Western Europe,84,5.274,5,0.983,0.024,1.294,0.838,0.345,0.185,0.03,2.70,17.39,100.00,17.05,1.14,
Northern Cyprus,N/A,Western Europe,64,5.718,6,1.263,0.027,1.252,1.042,0.417,0.191,0.16,,,,,,
Norway,NOR,Western Europe,3,7.554,10,1.488,0.022,1.582,1.028,0.603,0.271,0.34,0.20,3.69,100.00,60.60,0.52,
Pakistan,PAK,Southern Asia,67,5.653,6,0.677,0.037,0.886,0.535,0.313,0.220,0.10,,4.83,93.90,45.88,3.65,
Palestinian Territories,PSE,Middle East and Northern Africa,110,4.696,3,0.657,0.023,1.247,0.672,0.225,0.103,0.07,,25.34,100.00,13.86,0.71,
Panama,PAN,Latin America and Caribbean,31,6.321,9,1.149,0.032,1.442,0.910,0.516,0.109,0.05,1.00,6.33,93.90,18.91,11.34,
Paraguay,PRY,Latin America and Caribbean,63,5.743,6,0.855,0.023,1.475,0.777,0.514,0.184,0.08,1.00,6.59,99.70,60.09,8.48,
Peru,PER,Latin America and Caribbean,65,5.697,6,0.960,0.027,1.274,0.854,0.455,0.083,0.03,3.00,3.38,95.55,27.14,7.27,26.53
Philippines,PHL,Southeastern Asia,69,5.631,6,0.807,0.040,1.293,0.657,0.558,0.117,0.11,,2.24,95.29,26.80,4.32,
Poland,POL,Central and Eastern Europe,40,6.182,8,1.206,0.025,1.438,0.884,0.483,0.117,0.05,0.10,3.28,100.00,15.62,0.66,
Portugal,PRT,Western Europe,66,5.693,6,1.221,0.027,1.431,0.999,0.508,0.047,0.03,0.10,6.46,100.00,28.19,0.71,
Qatar,QAT,Middle East and Northern Africa,29,6.374,9,1.684,0.021,1.313,0.871,0.555,0.220,0.17,,0.10,100.00,0.06,0.39,
Romania,ROU,Central and Eastern Europe,48,6.070,7,1.162,0.040,1.232,0.825,0.462,0.083,0.01,2.20,3.91,100.00,23.54,1.25,43.21
Russia,RUS,Central and Eastern Europe,68,5.648,6,1.183,0.027,1.452,0.726,0.334,0.082,0.03,,4.50,99.78,3.22,7.69,17.28
Rwanda,RWA,Sub-Saharan Africa,152,3.334,1,0.359,0.075,0.711,0.614,0.555,0.217,0.41,,12.43,46.60,81.80,3.15,
Saudi Arabia,SAU,Middle East and Northern Africa,28,6.375,9,1.403,0.017,1.357,0.795,0.439,0.080,0.13,,5.64,99.99,0.03,0.80,
Senegal,SEN,Sub-Saharan Africa,111,4.681,3,0.450,0.047,1.134,0.571,0.292,0.153,0.07,,2.86,70.40,36.89,,
Serbia,SRB,Central and Eastern Europe,70,5.603,6,1.004,0.029,1.383,0.854,0.282,0.137,0.04,2.30,10.39,99.80,21.53,1.19,
Sierra Leone,SLE,Sub-Saharan Africa,129,4.374,2,0.268,0.045,0.841,0.242,0.309,0.252,0.05,,3.19,22.70,75.44,,
Singapore,SGP,Southeastern Asia,34,6.262,8,1.572,0.027,1.463,1.141,0.556,0.271,0.45,,3.10,100.00,0.89,0.21,127.85
Slovakia,SVK,Central and Eastern Europe,38,6.198,8,1.246,0.029,1.504,0.881,0.334,0.121,0.01,0.10,5.75,100.00,17.64,1.39,63.15
Slovenia,SVN,Central and Eastern Europe,44,6.118,8,1.258,0.031,1.523,0.953,0.564,0.144,0.06,,4.45,100.00,20.86,0.66,
Somalia,SOM,Sub-Saharan Africa,112,4.668,3,0.000,0.841,0.698,0.268,0.559,0.243,0.27,,18.83,49.20,95.03,,
South Africa,ZAF,Sub-Saharan Africa,106,4.722,4,0.960,0.021,1.351,0.469,0.389,0.130,0.06,,25.54,85.00,8.84,36.71,64.72
South Korea,KOR,Eastern Asia,54,5.895,7,1.301,0.027,1.219,1.036,0.159,0.175,0.06,,3.75,100.00,3.23,0.57,39.97
South Sudan,SSD,Sub-Saharan Africa,156,2.853,1,0.306,-0.977,0.575,0.295,0.010,0.202,0.09,,12.20,6.77,31.56,,
Spain,ESP,Western Europe,30,6.354,9,1.286,0.027,1.484,1.062,0.362,0.153,0.08,0.80,14.10,100.00,16.68,0.70,112.05
Sri Lanka,LKA,Southern Asia,130,4.366,2,0.949,0.033,1.265,0.831,0.470,0.244,0.05,1.00,4.67,99.76,46.13,3.43,
Swaziland,SWZ,Latin America and Caribbean,135,4.212,2,0.811,0.122,1.149,0.000,0.313,0.074,0.14,,22.78,77.03,65.47,,
Sweden,SWE,Western Europe,7,7.343,10,1.387,0.023,1.487,1.009,0.574,0.267,0.37,0.30,6.83,100.00,52.87,1.08,38.67
Switzerland,CHE,Western Europe,6,7.480,10,1.452,0.022,1.526,1.052,0.572,0.263,0.34,,4.39,100.00,24.76,0.54,18.95
Syria,SYR,Middle East and Northern Africa,149,3.462,1,0.619,-0.113,0.378,0.440,0.013,0.331,0.14,,8.74,89.23,0.99,,
Taiwan,N/A,Eastern Asia,25,6.446,9,1.368,0.027,1.430,0.914,0.351,0.242,0.10,,,,,,
Tajikistan,TJK,Central and Eastern Europe,74,5.467,6,0.493,0.039,1.098,0.718,0.389,0.230,0.14,,7.04,99.45,40.07,,
